#	date	

15:47:46.156803		MAIN	INFO	SCENARIO	FILENAME	scenario_settings5.txt
15:47:47.110715		TRACK	STATE	CURSOR	X	-0.007723635868367912
15:47:47.110818		TRACK	STATE	CURSOR	Y	-0.012343971758481655
15:47:47.130915		TRACK	STATE	CURSOR	X	-0.007885473933745649
15:47:47.131013		TRACK	STATE	CURSOR	Y	-0.013534191094607788
15:47:47.151202		TRACK	STATE	CURSOR	X	-0.00806072287169877
15:47:47.151314		TRACK	STATE	CURSOR	Y	-0.014798547267158103
15:47:47.171557		TRACK	STATE	CURSOR	X	-0.008232676150560688
15:47:47.171678		TRACK	STATE	CURSOR	Y	-0.016016403347337428
15:47:47.191910		TRACK	STATE	CURSOR	X	-0.008409538913695724
15:47:47.192041		TRACK	STATE	CURSOR	Y	-0.01724741365783438
15:47:47.212294		TRACK	STATE	CURSOR	X	-0.008600509251740931
15:47:47.212420		TRACK	STATE	CURSOR	Y	-0.0185538939505863
15:47:47.232834		TRACK	STATE	CURSOR	X	-0.00878737989031205
15:47:47.232951		TRACK	STATE	CURSOR	Y	-0.019811188951380558
15:47:47.253046		TRACK	STATE	CURSOR	X	-0.008979102579543716
15:47:47.253149		TRACK	STATE	CURSOR	Y	-0.01108096920532123
15:47:47.273398		TRACK	STATE	CURSOR	X	-0.009185610386446543
15:47:47.273515		TRACK	STATE	CURSOR	Y	-0.01242743133891218
15:47:47.293806		TRACK	STATE	CURSOR	X	-0.009387212810925824
15:47:47.294035		TRACK	STATE	CURSOR	Y	-0.013722106099260794
15:47:47.314148		TRACK	STATE	CURSOR	X	-0.009604044211095989
15:47:47.314245		TRACK	STATE	CURSOR	Y	-0.015094208284363768
15:47:47.334406		TRACK	STATE	CURSOR	X	-0.009815428559796049
15:47:47.334515		TRACK	STATE	CURSOR	Y	-0.01641282277037122
15:47:47.354710		TRACK	STATE	CURSOR	X	-0.010031546261963379
15:47:47.354823		TRACK	STATE	CURSOR	Y	-0.01774276396587876
15:47:47.375028		TRACK	STATE	CURSOR	X	-0.010252370723495127
15:47:47.375135		TRACK	STATE	CURSOR	Y	-0.019083799181774226
15:47:47.395308		TRACK	STATE	CURSOR	X	-0.010489271755659446
15:47:47.395421		TRACK	STATE	CURSOR	Y	-0.010503569582839186
15:47:47.415478		TRACK	STATE	CURSOR	X	-0.010719657351643966
15:47:47.415578		TRACK	STATE	CURSOR	Y	-0.011866612861472602
15:47:47.435831		TRACK	STATE	CURSOR	X	-0.01095466189276136
