#	date	

22:53:34.972960		MAIN	INFO	SCENARIO	FILENAME	scenario_demo.txt
22:53:40.102198		TRACK	STATE	CURSOR	Y	-0.012343971758481655
22:53:40.121605		TRACK	STATE	CURSOR	X	-0.007885473933745649
22:53:40.122604		TRACK	STATE	CURSOR	Y	-0.013534191094607788
22:53:40.141881		TRACK	STATE	CURSOR	X	-0.008060722871698752
22:53:40.141881		TRACK	STATE	CURSOR	Y	-0.014798547267158103
22:53:40.162570		TRACK	STATE	CURSOR	X	-0.00823267615056067
22:53:40.162570		TRACK	STATE	CURSOR	Y	-0.016016403347337428
22:53:40.182430		TRACK	STATE	CURSOR	X	-0.008409538913695724
22:53:40.183432		TRACK	STATE	CURSOR	Y	-0.01724741365783438
22:53:40.202869		TRACK	STATE	CURSOR	X	-0.008591293448623416
22:53:40.202869		TRACK	STATE	CURSOR	Y	-0.018491360917829776
22:53:40.223869		TRACK	STATE	CURSOR	X	-0.00878737989031205
22:53:40.223869		TRACK	STATE	CURSOR	Y	-0.019811188951380558
22:53:40.243966		TRACK	STATE	CURSOR	X	-0.008979102579543735
22:53:40.243966		TRACK	STATE	CURSOR	Y	-0.01108096920532123
22:53:40.263542		TRACK	STATE	CURSOR	X	-0.009185610386446543
22:53:40.264543		TRACK	STATE	CURSOR	Y	-0.01242743133891218
22:53:40.284049		TRACK	STATE	CURSOR	X	-0.009387212810925805
22:53:40.285049		TRACK	STATE	CURSOR	Y	-0.013722106099260794
22:53:40.304951		TRACK	STATE	CURSOR	X	-0.009604044211096008
22:53:40.305955		TRACK	STATE	CURSOR	Y	-0.015094208284363768
22:53:40.326033		TRACK	STATE	CURSOR	X	-0.00981542855979603
22:53:40.328447		TRACK	STATE	CURSOR	Y	-0.016412822770371233
22:53:40.346494		TRACK	STATE	CURSOR	X	-0.010042475925197794
22:53:40.346494		TRACK	STATE	CURSOR	Y	-0.017809554185323838
22:53:40.366333		TRACK	STATE	CURSOR	X	-0.010263535007114475
22:53:40.367333		TRACK	STATE	CURSOR	Y	-0.019151137963066528
22:53:40.387792		TRACK	STATE	CURSOR	X	-0.010500680869508597
22:53:40.387792		TRACK	STATE	CURSOR	Y	-0.010571471690225544
22:53:40.407582		TRACK	STATE	CURSOR	X	-0.010731298131925693
22:53:40.407582		TRACK	STATE	CURSOR	Y	-0.011935039322285597
22:53:40.427726		TRACK	STATE	CURSOR	X	-0.01096653281595908
