#	date	

17:14:17.147430		MAIN	INFO	SCENARIO	FILENAME	sample_scenario_complete.txt
17:14:18.316286		TRACK	STATE	CURSOR	X	-0.009377018860630776
17:14:18.316388		TRACK	STATE	CURSOR	Y	0.06634290974157524
17:14:18.336394		TRACK	STATE	CURSOR	X	-0.009583167102101988
17:14:18.336494		TRACK	STATE	CURSOR	Y	0.06503702128903094
17:14:18.356545		TRACK	STATE	CURSOR	X	-0.009794076694632697
17:14:18.356647		TRACK	STATE	CURSOR	Y	0.06371955220439382
17:14:18.376638		TRACK	STATE	CURSOR	X	-0.01000972224025574
17:14:18.376738		TRACK	STATE	CURSOR	Y	0.06239073323759411
17:14:18.396744		TRACK	STATE	CURSOR	X	-0.010230077253550749
17:14:18.396867		TRACK	STATE	CURSOR	Y	0.06105079690330187
17:14:18.416909		TRACK	STATE	CURSOR	X	-0.010455114162834825
17:14:18.417010		TRACK	STATE	CURSOR	Y	0.059699977443906406
17:14:18.437025		TRACK	STATE	CURSOR	X	-0.010696410437645113
17:14:18.437125		TRACK	STATE	CURSOR	Y	0.05827016222561091
17:14:18.457279		TRACK	STATE	CURSOR	X	-0.010930954460686862
17:14:18.457375		TRACK	STATE	CURSOR	Y	0.05689777175286217
17:14:18.477327		TRACK	STATE	CURSOR	X	-0.01117008959215087
17:14:18.477429		TRACK	STATE	CURSOR	Y	0.055515222876269914
17:14:18.497523		TRACK	STATE	CURSOR	X	-0.011413783876731634
17:14:18.497624		TRACK	STATE	CURSOR	Y	0.05412275645175743
17:14:18.517752		TRACK	STATE	CURSOR	X	-0.011662004281515268
17:14:18.517859		TRACK	STATE	CURSOR	Y	0.05272061487225346
17:14:18.538094		TRACK	STATE	CURSOR	X	-0.011927469607864838
17:14:18.538196		TRACK	STATE	CURSOR	Y	0.05123822021127747
17:14:18.558320		TRACK	STATE	CURSOR	X	-0.012184860754048954
17:14:18.558422		TRACK	STATE	CURSOR	Y	0.049817008626559744
17:14:18.578470		TRACK	STATE	CURSOR	X	-0.012446670638641901
